vid,match_id,stage,player1ringname,player1rank,player1character,player2ringname,player2rank,player2character,round_num,player1_rounds_won,p1ko,p1ro,p1ex,player2_rounds_won,p2ko,p2ro,p2ex,round_end_time
-1XL4uukqbw,60,3afa7102-d7cd-4c77-9d27-f70cee4dbdb8,River,n/a,0,Jacky,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
-1XL4uukqbw,1651,3afa7102-d7cd-4c77-9d27-f70cee4dbdb8,River,n/a,43,Jacky,n/a,43,Jean,1,1,1,0,0,0,0,0,0,15.66
-1XL4uukqbw,2599,3afa7102-d7cd-4c77-9d27-f70cee4dbdb8,River,n/a,43,Jacky,n/a,43,Jean,2,2,1,0,0,0,0,0,0,22.30
-1XL4uukqbw,3636,3afa7102-d7cd-4c77-9d27-f70cee4dbdb8,River,n/a,43,Jacky,n/a,43,Jean,3,2,0,0,0,1,1,0,0,20.01
-1XL4uukqbw,4739,3afa7102-d7cd-4c77-9d27-f70cee4dbdb8,River,n/a,43,Jacky,n/a,43,Jean,4,2,0,0,0,2,1,0,0,17.31
-1XL4uukqbw,5996,3afa7102-d7cd-4c77-9d27-f70cee4dbdb8,River,n/a,43,Jacky,n/a,43,Jean,5,2,0,0,0,3,1,0,0,12.36
-CwmgrhrkJQ,60,d8edcde5-d633-44bb-8932-bf6d52bfa961,Waterfalls,n/a,0,Jean,n/a,0,Vanessa,0,0,0,0,0,0,0,0,0,n/a
-CwmgrhrkJQ,1333,d8edcde5-d633-44bb-8932-bf6d52bfa961,Waterfalls,n/a,41,Jean,n/a,44,Vanessa,1,1,1,0,0,0,0,0,0,27.66
-CwmgrhrkJQ,2357,d8edcde5-d633-44bb-8932-bf6d52bfa961,Waterfalls,n/a,41,Jean,n/a,44,Vanessa,2,2,1,0,0,0,0,0,0,20.06
-CwmgrhrkJQ,3154,d8edcde5-d633-44bb-8932-bf6d52bfa961,Waterfalls,n/a,41,Jean,n/a,44,Vanessa,3,2,0,0,0,1,1,0,0,27.04
-CwmgrhrkJQ,3824,d8edcde5-d633-44bb-8932-bf6d52bfa961,Waterfalls,n/a,41,Jean,n/a,44,Vanessa,4,3,1,0,0,1,0,0,0,32.06
